,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
43,Tim Patrick,DEN,WR,0.0,0.0,0.0,56.4,777.1,6.5,0.7,0.0,0.0,0,0.0,0.0
44,Brandon Aiyuk,SF,WR,3.7,19.2,0.1,60.8,840.4,4.9,0.8,0.0,0.0,0,0.0,0.0
45,Robert Woods,TEN,WR,11.7,73.6,1.1,66.7,755.0,4.4,0.7,0.0,0.0,0,0.0,0.0
46,Garrett Wilson,NYJ,WR,2.0,12.2,0.0,58.3,852.9,4.8,1.2,0.0,0.0,0,0.0,0.0
47,Christian Kirk,JAC,WR,1.0,9.5,0.0,78.2,892.8,4.0,0.7,0.0,0.0,0,0.0,0.0
48,Chris Olave,NO,WR,1.5,5.5,0.0,54.2,810.4,5.3,0.7,0.0,0.0,0,0.0,0.0
49,Allen Lazard,GB,WR,3.5,27.8,0.1,51.3,665.4,7.2,0.6,0.0,0.0,0,0.0,0.0
50,Marquez Valdes-Scantling,KC,WR,1.4,7.4,0.0,43.3,773.3,5.2,0.1,0.0,0.0,0,0.0,0.0
51,Christian Watson,GB,WR,3.0,17.3,0.1,52.0,758.0,5.5,1.2,0.0,0.0,0,0.0,0.0
52,Marvin Jones Jr.,JAC,WR,0.0,0.0,0.0,62.3,715.0,5.9,0.6,0.0,0.0,0,0.0,0.0
53,Kadarius Toney,NYG,WR,10.0,62.3,0.1,70.3,795.0,3.4,0.8,0.0,0.0,0,0.0,0.0
54,Kenny Golladay,NYG,WR,0.0,0.0,0.0,55.4,810.4,4.2,0.7,0.0,0.0,0,0.0,0.0
55,DeVante Parker,NE,WR,0.0,0.0,0.0,56.2,794.1,4.4,0.7,0.0,0.0,0,0.0,0.0
56,Mecole Hardman,KC,WR,10.3,70.9,0.8,55.0,696.0,4.1,1.3,0.0,0.0,0,0.0,0.0
57,K.J. Osborn,MIN,WR,0.5,4.5,0.0,51.3,678.5,5.9,0.6,0.0,0.0,0,0.0,0.0
58,Robby Anderson,CAR,WR,3.4,23.7,0.1,57.7,715.6,4.8,0.7,0.0,0.0,0,0.0,0.0
59,Alec Pierce,IND,WR,0.0,0.0,0.0,55.0,739.6,4.7,0.3,0.0,0.0,0,0.0,0.0
60,Jakobi Meyers,NE,WR,0.5,4.5,0.0,74.9,783.5,3.8,0.8,0.0,0.0,0,0.0,0.0
